,Community,Degree
3141455,19,17
3455862,26,3
8141419,26,3
34498041,37,6
37340414,26,8
39284160,26,3
39410972,26,5
40612466,26,8
65925190,26,3
66358251,26,2
79774420,85,3
104662768,26,6
104784091,26,5
123466322,85,3
1381378900,26,5
1396564179,85,3
1785423162,85,3
1685349,86,1
145358005,86,1
1685533,87,3
2519577,87,7
81477039,87,3
144697521,87,3
1686317,88,0
1686534,89,8
1758662,89,8
1996561,89,8
3365608,89,8
49071170,89,8
51228139,89,9
2005906112,89,8
2047241966,89,8
2058616009,89,8
1686834,90,1
2059584,90,1
1961958,91,2
2278978,9,3
2707325,92,1
2943892,93,4
3207378,9,6
4913893,94,1
8272456,94,1
10682650,91,2
27582075,95,1
32774810,9,2
34608437,92,1
38818867,9,11
39545209,13,2
48448113,95,1
48687882,13,2
49329519,9,2
144463523,13,15
145128143,92,2
1403433464,92,2
1666505245,9,11
2110373982,91,2
1687987,96,7
1735289,96,7
72560697,96,7
144053687,96,16
2061849346,96,7
2066324097,96,7
2067688529,96,7
2110447955,96,8
1688109,97,4
1730868,97,2
2196625,97,2
2827218,97,2
3283158,97,3
1729606,97,1
1770917,98,1
1795727,99,2
1829594,100,2
1846745,97,1
2187597,97,1
2361021,100,2
2468364,97,6
2574895,97,1
2737120,98,3
2838436,100,5
3100337,97,1
3220238,100,2
5034391,101,1
32030988,99,2
35794195,98,2
144461639,100,2
153299172,98,2
1388327837,100,3
1516165546,99,2
2052513151,101,1
1688319,102,1
1401950156,102,1
1688335,9,3
1688453,103,0
2412890,104,2
144559403,104,2
1398136050,104,2
1689001,105,7
1716665,105,4
1782594,105,4
1969326,105,3
9655832,105,3
33694882,105,4
40965339,105,4
144029598,105,4
1746012,106,2
1752841,107,4
1797305,30,1
1853626,30,1
2033712,108,0
2146897,107,4
2256646,109,0
2647822,107,4
2648332,30,9
2710663,40,2
34626539,110,5
35013444,30,4
35299236,111,1
39493641,110,5
39810533,40,1
47830372,30,1
71837670,107,4
73510729,30,4
95624983,30,4
145427922,107,4
1394521300,110,5
1394521342,110,5
1395910670,106,1
1738624850,106,1
2061583619,110,5
2109539861,30,4
2110775359,110,5
1689184,62,8
1750822,62,5
2532501,62,2
3411127,62,3
27549906,62,3
36517276,62,8
145646057,62,2
145969795,62,3
2096245957,62,5
1689467,112,2
41233035,112,2
48592849,112,2
1689559,30,1
2225668,30,5
1689859,113,2
1733925,113,4
46172826,113,2
1689953,34,3
1797833,34,6
144136791,34,3
2109760059,34,7
1689973,114,1
39672593,114,1
1690035,37,3
1801286,37,3
7352942,37,3
143951813,37,5
1690383,115,1
123722986,115,1
1690395,116,0
1690690,26,4
1818812,26,6
1826736,26,20
3244651,26,7
145621251,26,4
1690827,117,0
35213700,6,5
144278875,6,4
1691109,118,7
1692521,118,7
3050189,118,7
34611540,118,7
50857417,118,7
51203867,118,7
2082436911,118,7
2095347370,118,7
1691267,43,2
2172202,43,2
145624017,43,8
1691613,119,3
40290242,119,3
145207004,119,3
1399229138,119,3
1692062,30,5
2016371,30,16
2862768,30,6
3251114,64,10
1692592,30,4
1971592,30,15
31582678,30,7
39452966,30,4
46425681,30,4
1692772,9,4
1706438,9,4
3396614,9,5
51161079,9,4
144541497,9,4
1693190,120,0
1693265,121,3
3005207,121,1
145842706,121,2
1388404060,121,6
1858292,26,2
2910979,4,3
46199260,4,3
46933023,4,10
69026873,26,1
89509643,4,3
1693910,122,2
1824199,122,1
2988774,122,1
1694393,123,4
1754163,123,4
3033269,123,3
32455314,123,3
2029657498,123,2
1694662,124,2
2814772,124,2
31684379,124,2
1694809,125,1
34805325,125,1
1694982,64,1
1742046,64,3
1695510,126,9
1715923,126,4
2478133,126,4
2643730,126,4
2933028,126,4
3295818,126,4
51996051,126,1
144450942,126,4
144934479,126,4
145574559,126,4
1695677,127,0
1695825,128,4
1796848,128,4
2502577,128,5
51044731,128,4
2110993941,128,4
1696082,129,1
3261525,129,1
1696165,130,4
3063113,130,4
30830627,130,4
81739389,130,4
2054857301,130,4
1696173,131,1
101407629,131,1
2089922203,132,5
1697232,133,2
8812882,133,2
10740141,133,2
1710176,134,2
40917740,134,2
2075278726,134,2
1697737,135,0
1698125,121,7
1750014,121,7
2137490,121,2
2517125,121,8
37436656,121,23
48106342,121,16
144626042,121,23
2053031799,121,1
1698354,136,7
2127236,136,7
3065714,136,10
8692565,136,1
35195980,136,5
37664126,136,6
48105791,136,3
143914330,136,7
1759462,137,3
3131890,137,3
37496800,137,3
71702990,138,0
143938870,137,3
1749012,43,5
2440079,43,10
38115045,43,6
1699545,34,2
1854783,34,6
4928473,34,2
1699605,37,4
3209837,37,4
31127876,37,6
49503692,37,4
66887332,37,4
1699732,139,5
1799402,139,5
47321836,139,4
144044007,139,4
2007674493,139,5
2055262683,139,3
1699751,140,3
1746214,140,3
1778110,140,3
41224057,140,3
1699822,141,1
2047495868,141,1
1700104,142,1
2724928,142,1
1700149,143,0
1700567,144,3
1802416,144,3
3080041,144,3
2048335237,144,3
1947421,145,5
2068330,146,2
2197478,145,2
2437393,147,1
2751584,146,2
2892622,145,2
3377701,145,5
6964103,145,5
31896076,145,5
32215760,145,7
47642566,146,2
49230031,145,5
1401971414,147,2
1701298,0,2
34836211,0,43
144481316,0,6
1701341,57,3
1743043,57,20
3076440,57,6
26002938,57,6
1701353,148,1
2073448393,148,1
1702030,149,11
3084899,149,3
3294972,149,1
3329965,149,3
3407646,149,2
9438988,149,2
38746648,149,9
40581738,149,4
143745532,149,1
145931035,149,6
2110607515,149,2
2110688724,149,1
1713089,34,4
1745524,150,4
1746807,151,18
1791498,150,4
1892673,152,3
1933403,150,3
2062143,152,7
2114966,151,3
2572092,34,1
