,Community,Degree
3117387,0,8
3461058,323,1
3620858,0,3
7387089,0,8
7395153,0,8
8651842,323,1
10016451,0,2
33015486,0,4
49708558,0,3
49860197,0,2
71389395,0,2
144291713,0,8
145239893,0,4
145894520,0,15
1401727104,0,8
1765196,13,4
1922747,13,2
2158559,13,4
1765205,324,1
79986228,324,1
1765664,325,1
1932083,325,2
1765951,326,1
1777528,326,1
1765976,327,2
4209393,327,2
145475571,327,2
1766638,59,5
1796536,59,4
1852847,59,4
51909421,59,1
2108003088,59,4
1767065,328,1
47787843,328,2
1768074,13,2
145425815,13,2
1768117,329,1
48941432,329,1
1768137,132,3
2693014,132,6
146698736,132,3
1768703,330,2
1776006,330,2
145502289,330,2
1772699,37,3
1800677,37,2
1959178,37,2
2014320,37,4
2477967,37,5
2678013,37,2
3198078,37,2
3369464,37,5
3963740,37,5
32271575,37,3
107869115,37,2
121736747,37,3
143623550,37,2
144544965,37,1
144572963,37,5
145723719,37,5
145823055,37,4
2027234906,37,2
2058352378,37,4
2067373033,37,5
2071984064,37,5
1769522,331,2
3001050,331,2
143873914,331,2
1769861,332,6
2207049,332,6
38635328,332,6
48162805,332,6
1491522159,332,6
2067595672,332,6
2070443773,332,6
1769940,333,5
2690273,333,5
3379728,333,5
31676371,333,5
145577650,333,5
153709153,333,5
1863766,48,2
2057124,48,4
2499486,334,3
2617057,37,2
2951268,335,2
3340774,335,2
5917870,336,2
27001335,337,4
38844751,338,0
49816577,339,1
89315564,334,3
104847090,334,3
118861083,337,3
121197986,337,2
144236990,339,1
145058548,337,3
145445694,337,4
153781655,334,3
2054864984,335,2
2081425053,336,2
2092126237,336,2
1770424,2,4
2086254,2,4
143798966,2,7
143835434,2,8
145804545,2,10
3040967,225,2
1772318,340,2
1946078,340,5
2068497450,340,2
144161686,4,1
2477632,121,3
2663473,121,8
2950912,121,3
3196118,121,5
35243642,121,1
47273799,121,3
47407464,121,5
144235324,121,5
2079193685,121,5
1800981,231,3
2379340,341,3
3133079,43,5
3459091,242,5
6270307,77,1
7583397,342,2
10342430,231,3
12263630,343,3
26421513,242,1
32703977,77,2
34997997,43,5
35637055,344,3
40333421,43,5
46454226,341,6
46663293,345,1
48079828,343,3
49170522,342,2
92774622,342,2
100760035,343,4
107747719,341,8
118837332,346,0
138177979,341,1
143621739,343,2
143841814,6,2
145816335,347,0
1444699639,341,6
1753593579,341,2
1753599459,343,3
1896151979,344,3
1899292751,341,6
1900489124,344,3
2004431663,242,3
2053105001,341,6
2053301059,343,4
2100687990,43,5
2107908149,341,6
2108613517,348,1
2108624384,242,3
2109246592,345,1
2109454735,341,6
2109518764,242,3
2109776478,343,3
2110175996,348,1
2110230345,343,2
2110812101,231,3
2111165720,344,3
1775687,349,2
2346641,349,3
144021633,349,2
1776099,350,2
1403048710,350,2
1484462171,350,2
1776433,351,0
1809243,2,1
48694677,2,2
50139333,2,1
153164874,2,2
2046924,31,5
2065768,31,5
2121625,31,5
3205143,31,5
7646279,352,0
39963117,19,5
120488349,31,5
1897202,353,0
2200902,354,5
2539205,354,2
2991141,355,3
3116409,354,5
8966123,356,0
30681377,354,5
34791094,354,7
35193947,354,5
46637563,355,3
48580588,357,0
49018775,355,2
49484314,354,5
49878905,354,2
70392546,358,1
122907118,359,1
123100795,360,0
1500412015,359,1
2072192768,358,1
2110618737,355,2
2111603878,361,0
1777451,4,2
1801346,4,4
1791021,34,4
2018809,62,3
2642122,328,1
2815916,34,3
2816484,62,2
3071703,62,8
3199193,62,3
8528698,362,2
21007048,34,3
31422836,34,3
37159503,362,2
37938696,62,3
48994697,362,2
144817346,62,3
144844426,34,11
2163282,363,2
2175835,364,0
2373998,34,3
2391370,6,8
2929988,365,0
10009230,366,0
11170249,57,5
11259508,367,1
20944965,363,2
34599212,367,1
35339521,368,1
39729634,57,3
40694684,369,1
47012142,368,1
51197268,6,2
51291986,57,4
79165439,9,3
80564879,369,1
115254393,363,2
115257572,57,5
117014535,370,0
121028095,371,0
143890973,6,2
144685981,372,0
1418836134,57,6
1420424297,57,3
1659159371,57,3
1790267675,373,0
1902713764,57,1
2089062257,57,6
2091583897,374,0
3368321,0,3
145797387,0,3
2065295833,375,0
1780115,376,1
118607769,376,1
1781500,34,3
1783184,34,8
2571049,34,7
1781883,6,4
1790849,6,5
32769799,6,6
35053058,6,4
51067816,6,8
2184913,299,2
1811944,377,0
1992750,48,1
2051975,48,2
3008874,378,1
3456325,48,1
8388443,30,5
9552744,48,2
16047887,379,0
37936069,48,8
39597018,378,1
47352285,48,2
50593657,380,1
144157926,30,2
1620657808,48,4
2000893055,48,7
2054860511,380,1
2088899596,48,6
2091919964,48,1
2100517979,48,5
1782853,30,20
2017237,30,1
2504446,30,5
4254041,30,5
4513565,30,5
6359077,30,5
26759530,30,12
32335850,30,6
33891128,30,2
143946641,30,1
144673084,30,13
144799987,30,6
145583569,30,6
1411379613,30,2
1695773203,30,13
1988916287,30,4
1990294591,30,4
2053993324,30,6
2069626187,30,15
2110348576,30,2
34769917,34,3
117745152,34,3
143836587,34,3
145664318,34,2
1898789,381,2
1951299,382,1
2400779,381,2
46330072,382,1
84222746,383,1
144558957,381,2
2111373038,383,1
1925509,13,8
1978989,18,6
2896291,18,3
27342735,13,4
28823550,13,3
33176076,13,6
39838907,13,4
46677579,13,6
48145366,13,4
101482772,13,4
117977794,13,6
145080722,13,6
145432486,13,6
1630469424,13,2
2066029559,13,3
2109293717,13,5
1783942,384,4
1792635,384,4
1852153,384,4
2101381,384,4
144772905,384,4
1803116,0,4
1835891,385,3
1853467,0,5
1873868,385,3
1935789,385,4
1944550,0,6
1958517,386,0
1971567,0,4
1984044,0,14
2052934,0,2
2293793,387,1
2367789,0,2
2602549,387,1
3087901,0,1
3118759,0,8
3128503,0,10
3146840,388,0
3302599,0,6
3345653,0,2
4569669,0,1
5031726,0,5
5100462,0,5
8664811,0,4
8678300,0,5
11805434,0,4
12393091,0,2
23426299,389,1
30080277,390,0
31972577,0,3
32196554,0,3
32304430,391,0
32442896,0,2
35405744,0,5
35541240,0,2
38050902,0,4
38565654,0,3
38798234,0,2
46468401,0,2
49122092,0,8
49554524,0,1
50524587,0,6
52171292,0,2
89392525,0,5
95524117,0,4
113979865,392,0
134474919,385,1
143680232,385,3
144389166,0,2
144727027,0,5
145430236,0,5
145553967,393,1
147794658,0,3
1398028847,0,3
1398555696,0,13
1398856738,0,3
1399375171,0,6
1399528697,0,3
1401720715,0,4
1403841396,0,6
1405596416,394,0
1945712005,395,0
2054335562,0,1
2054883220,396,0
2055895021,0,15
2058515800,0,3
2061188084,0,3
2064139661,389,1
2065066018,0,5
2068958307,393,1
2091143606,0,4
2105502974,0,5
2108901127,0,2
2109935225,0,2
2513121,397,2
144618583,398,1
1518248278,398,1
2035504804,397,2
2035509705,397,2
1786148,32,6
2596538,32,6
31726059,32,6
143736201,32,6
1405013138,32,6
1422499086,32,6
1788802,399,1
47969255,399,1
1789540,400,0
1790944,172,6
2161233,172,3
2991297,172,3
46491690,172,3
48053030,172,3
48535187,172,7
82968651,34,3
1791069,285,2
2067475,285,2
1791413,57,7
1801223,57,10
3011486,57,3
6503145,57,4
118583353,57,4
143912507,57,5
144008442,57,7
1791787,401,1
30281690,401,1
1792014,402,5
1793035,402,5
1861130,402,5
2440788,402,5
2516889,402,5
46451376,402,5
1792269,403,2
3422266,403,1
37666967,403,1
1792418,404,0
1792623,405,2
3257345,405,2
3400655,405,2
2471896,9,4
2899074,9,4
143759133,9,1
145725020,9,4
1793519,406,1
145134535,406,2
1793601,407,6
2866858,407,6
37189729,407,6
50770652,407,6
145622311,407,6
1725412685,407,6
2029655407,407,6
1793883,408,4
2901051,408,4
38875309,408,4
51520860,408,4
1399890865,408,4
2222418,409,1
2228459,410,0
2372751,411,2
8932668,411,2
30308222,409,1
41197857,411,2
2110824033,412,0
1794750,413,2
3122098,413,1
153280673,413,1
1794786,34,1
1794953,414,5
9499353,414,5
12290584,414,5
28022020,414,5
69373883,414,5
2106115106,414,5
1794991,415,0
2350103,43,3
2360945,43,3
2532027,43,3
35650661,43,3
39724624,43,2
49870342,43,4
73774143,43,4
117885595,43,4
143634219,43,8
145724348,43,6
1399519070,43,6
1401290379,43,4
49095450,416,1
2051741151,416,1
1868490,417,0
2136860,418,1
2146802,419,3
2353412,420,1
2631417,421,4
40390550,419,3
50545056,422,1
69383880,420,4
144002439,419,7
144016056,418,1
144211059,421,3
145171749,421,4
145931139,422,1
1389036863,419,3
2055969088,421,2
2070679879,421,3
2108734693,423,0
1796908,424,1
9180966,424,1
1796931,425,2
2139534,425,2
2516059,425,2
1797149,426,3
3172497,426,3
47203912,426,5
2097937153,426,2
2440972,427,0
2796576,62,11
3250989,62,5
46424988,62,5
49625187,62,10
2095414454,62,5
1797619,428,0
1799470,4,2
2885589,4,1
1942971,429,2
1991841,430,1
2016795,431,1
2720748,432,0
2991562,430,1
3093901,429,2
20487528,429,2
40629666,433,3
41128618,433,3
50816198,431,1
50828583,26,1
66099712,433,3
93799477,434,3
117358487,434,3
118956516,434,3
120177698,435,0
144047902,434,3
144299590,436,1
145298041,433,3
2071531000,2,1
2110523580,436,1
1800363,437,0
1800842,438,5
1822242,438,5
2640356,438,5
115671562,438,5
1401279392,438,5
1403060027,438,5
35094795,4,2
1802083,439,0
1802174,440,0
1802708,441,4
2254131,441,4
37517782,441,4
144781312,441,4
2053789148,441,4
1803171,159,4
2022288,159,4
21243375,159,8
35831406,159,4
1803359,442,0
31390155,173,4
49805882,173,4
72856857,136,1
1481724234,173,4
1910550048,136,1
26401957,443,5
31511853,444,1
35410873,443,9
47506168,444,1
51901315,443,9
120315318,443,5
145844498,445,0
1417307596,443,5
2060863703,0,1
2070524232,443,6
2070916165,443,5
2076751932,443,5
2083861280,443,6
2092462245,0,3
2101022236,443,9
1805550,446,1
144452579,446,1
1807682,447,4
1975761,447,3
68972769,447,3
118407911,447,1
151428162,447,3
1881696,448,3
1900676,449,6
2931672,449,4
3081847,449,6
3285322,450,5
3659997,450,6
5740734,450,3
31597324,449,4
34894131,450,3
46950454,448,3
48671916,450,7
52292389,450,6
52362254,450,4
52441003,450,6
87013866,448,3
144864540,448,3
2055066757,449,4
1808447,451,5
2950504,451,5
3381911,451,5
6199248,451,5
32735605,451,5
2085205749,451,5
1808515,452,6
2450627,452,6
5337233,452,6
8854282,452,6
39446706,452,6
46877301,452,6
2005283870,452,6
2334449,35,1
3099164,35,1
1810064,453,2
152276166,453,2
2052497828,453,2
1812586,454,0
1814195,226,2
145961392,226,3
1814699,9,3
40564403,9,3
152618356,455,0
2076328,456,5
2146189,9,5
2295436,9,7
38803352,9,5
49869581,9,5
143750317,456,5
144021446,456,5
144620977,456,5
145001661,456,5
1469370086,456,5
1864109257,9,5
2362490,6,4
2411946,6,8
2065172027,6,4
1818599,132,3
1855144,132,3
49999553,132,3
1819612,457,5
5536789,457,5
52051684,457,5
114833791,457,5
1435620696,457,5
2066407275,457,5
1821014,67,6
2844459,67,11
32261909,67,6
50148940,67,6
115558609,67,8
153772145,67,6
1822060,458,0
1823990,19,3
2751909,19,14
1404434289,19,3
1405578363,19,3
1826312,9,1
2081249,26,7
2135348,26,3
3016256,26,3
34805726,26,4
51151458,26,5
1557331003,26,2
2007746430,26,2
1828604,30,2
1830171,37,5
34903404,37,5
143802058,37,5
2066626968,37,6
2486795,4,7
40510184,4,7
47812155,4,7
77090294,4,7
145644167,4,7
2502423,459,6
12243518,459,4
34597147,9,1
39083912,459,4
47786922,460,0
107879197,459,4
134730247,459,4
144940246,459,2
1484753273,459,2
1832325,461,2
1963591,461,2
31801201,461,2
2210374,462,3
33642939,462,3
36610242,462,3
39656686,48,3
50884186,48,2
107796650,48,1
143756980,48,2
1398679323,48,8
1401736799,462,3
1414796571,48,3
1825150776,307,3
1993488701,463,1
1993530420,463,1
2046827235,307,3
2046827595,307,3
2066152579,48,3
1835219,226,1
145054722,226,3
1836263,464,1
145277525,464,1
2214132,37,1
32360164,465,0
49253666,466,0
144608861,37,1
1976250175,467,1
2066212609,467,1
3160568,30,7
46205905,18,6
46287083,468,4
47769799,469,1
89918089,37,2
144133081,37,1
1557288804,37,2
1842598,18,2
34060829,18,3
46835179,18,3
1843080,470,0
2468251,314,4
2832085,9,3
11858621,9,3
37264444,9,13
47683385,9,3
1844994,11,5
1914904,11,5
3142146,11,5
3153970,11,6
3195620,11,5
1846542,35,6
2220571,35,6
2659182,35,6
46370967,35,6
1820939249,35,6
1846839,471,1
5359302,471,1
1847584,472,1
2108783344,472,1
1847907,61,2
1848764,473,9
2081444,473,9
2942586,473,7
51192430,473,9
51924391,473,9
82375331,473,7
1403766183,473,9
2054951331,473,9
2064119650,473,7
2074034225,473,7
3254987,34,4
3318905,34,4
51444076,34,4
1855350,474,5
79388098,474,5
80850882,474,5
121901832,474,5
1435240859,474,5
1506203850,474,5
5978950,475,0
2061395247,476,0
1858149,477,3
32065573,477,10
40652732,477,7
47184018,477,3
1858550,478,3
4256290,478,3
116313283,478,3
2056927974,478,3
1859328,479,4
2148857,479,4
3301461,479,4
49535686,479,11
2057972382,479,4
1928233,37,6
3118047,37,6
101474256,37,6
2076535206,37,6
2080672543,37,6
2083579933,37,6
1859994,480,1
36472765,480,1
1860020,481,3
2389876,481,3
39390777,481,4
1411322963,481,2
2734912,6,4
144715575,6,4
145228658,6,4
2713727,31,2
2997019,34,3
32196493,482,0
32455680,31,2
40577108,34,3
145284103,419,3
145523489,34,3
1863901,483,1
20972143,483,1
1864388,484,2
47283340,484,2
114640696,484,2
1866210,485,1
32449739,485,1
2102739,6,2
27529530,6,3
40056533,6,2
40068190,6,5
144669634,6,2
1410457841,6,4
2054746580,6,5
2055938290,6,2
2064095808,6,1
2066244875,6,2
2067374230,6,3
47110820,486,5
47825185,486,5
50184120,487,2
114068851,488,0
137907215,486,5
145087825,487,2
2000195422,486,5
2087325597,489,0
2101286629,486,5
2105701140,486,5
2107946060,487,2
1879192,490,2
1948951,490,2
73558288,490,2
1881662,491,1
30717442,491,1
1883349,492,4
35112452,492,4
108593428,492,4
144392779,492,4
2084269438,492,4
2951845,493,6
3093431,493,6
31889131,493,6
32844570,493,6
39733718,493,6
52430902,493,6
144909944,494,0
2107384379,493,6
1884284,4,3
2364979,4,5
3169225,4,3
1884660,495,0
3203785,57,3
50566778,57,3
1889202,496,2
4864745,496,2
117543199,496,2
1891305,19,4
2065584059,19,4
1895266,497,4
24227453,497,5
75171216,497,6
143816879,497,4
145358892,497,4
1895296,479,7
2257820,479,7
2626843,479,7
3012349,479,7
4222196,479,7
37973754,479,7
49094660,479,10
1896018,169,2
49323336,169,4
145212340,169,8
1898950,498,2
3442327,498,2
39145388,498,2
2669438,499,1
2792469,500,0
32602572,9,2
39415807,499,3
120664458,499,2
145679219,499,2
2648570,449,3
145634335,449,3
2762633,64,2
3115480,64,2
3933548,64,2
4189367,64,5
5928579,64,8
47043282,64,3
49425477,64,4
49601951,64,6
143825448,64,3
143925480,64,5
144964751,64,6
2054953606,64,1
2108778091,64,5
2108778377,64,6
1903282,43,3
2327749,43,5
114830687,43,3
145882236,43,5
1903670,501,3
37978142,501,3
67045794,501,3
144402510,501,3
11902530,26,1
145272159,26,3
2110544787,26,1
1907352,502,4
49734590,502,1
70550448,502,3
145329865,502,3
2059554946,502,3
39695233,503,0
48053776,504,0
145080995,505,0
1405387805,506,0
2912943,507,0
47979457,508,0
122585698,509,0
1914360,4,3
2622687,4,7
2987485,4,3
5040241,4,3
7259268,510,8
32735464,510,4
32801029,510,8
41094808,18,1
47546597,510,1
50981816,510,3
143901614,511,0
1416945634,18,4
1916117,19,9
2620318,19,6
24288875,19,8
40894481,19,2
49137136,19,5
144610599,19,12
145155219,19,7
1403027255,19,5
2051745007,19,2
1916358,18,2
3026226,18,15
1918441,512,3
2459830,512,3
145364504,512,3
2061016901,512,3
1923153,13,1
116074438,13,7
1923462,513,6
2937772,513,6
3089233,513,6
4698704,513,6
48834928,513,6
145213301,513,6
1403809579,513,6
2447350,186,1
2150988,514,0
32086754,13,2
1925560,18,5
2052707659,18,2
2059721601,18,3
2061625001,18,3
1928572,515,7
20875376,515,7
33233370,515,7
34670164,515,7
73234077,515,7
98640328,515,7
144831490,515,7
1786840703,515,7
2219019,516,0
9642898,517,2
24584128,517,2
46299998,517,4
50392319,517,2
2059702963,518,0
2068447550,517,2
2076736,26,1
2266503,26,2
4822550,26,6
14918729,26,2
39850767,26,3
2796337,325,1
1939072,519,5
3200693,519,5
35973196,519,5
153181592,519,5
1712825123,519,5
2107914725,519,5
1939358,520,0
1940627,521,0
1941255,522,1
48273381,522,1
1945640,523,1
2934816,523,1
48337979,340,3
104588671,340,3
2109594778,340,3
3193673,57,3
1947459,524,1
144045605,524,1
2027667,525,5
2580290,525,5
2813811,525,5
34955110,525,5
35278404,525,5
90732583,525,5
3467819,526,2
34802004,526,2
47258565,526,2
79904188,527,0
1951564,64,4
1398241945,64,8
2135363,528,1
2697953,529,1
3101419,530,2
3256413,530,2
3385949,530,2
5944993,528,1
117037531,529,1
2264182,531,2
2363920,4,8
2499673,4,6
2601281,4,2
2610155,4,2
2758192,531,1
2840779,4,2
2850031,4,5
3020257,4,3
3249439,4,3
5370083,4,3
8103703,4,2
11230598,4,1
12867734,532,1
34942275,4,1
40482863,533,1
46688646,4,2
46689141,4,3
49880005,4,3
51172087,532,1
51216400,534,1
52419850,535,0
66989095,536,1
115204425,534,1
115317372,4,3
117593849,531,1
122212441,531,2
145486068,4,5
145851479,4,2
146050449,537,0
146686896,533,1
1481023254,4,4
1753291331,4,3
1850538118,4,3
1942224109,534,2
2103963709,536,1
1954646,25,2
2059013549,25,2
1955034,538,2
46841215,538,2
73263197,538,2
2223687,539,2
2855998,539,2
6948417,426,1
8201079,540,4
34660791,426,2
46727363,541,0
48105233,542,0
152929627,540,4
1416415761,540,2
2065614779,539,2
2253600,13,4
2315475,543,5
2624785,544,2
4086529,543,5
4213990,6,7
31908706,13,2
39888452,13,3
115512104,543,5
119101976,543,5
143691621,544,2
143710789,544,2
143892297,13,1
145574694,543,5
145958320,543,5
153243248,13,1
2005467141,6,2
1958985,545,2
1400956398,545,2
2075249103,545,2
1959755,546,2
120232383,546,2
144923332,546,2
2986738,547,0
5995557,208,7
32971115,208,1
35930990,548,1
79471824,549,1
81624220,549,1
2055973601,548,1
1962691,18,5
3091574,18,10
3386013,18,8
47450657,18,8
118991724,18,5
1970636,48,3
40902001,48,3
2073018730,48,10
1970752,152,1
37987273,30,9
104679607,30,5
118692657,30,6
145769614,30,4
1695503420,30,6
1720776022,30,9
2054783474,30,4
2069626486,30,4
1973607,550,1
145491949,550,1
1978098,18,3
2036229,18,3
48615328,18,3
1978469,37,3
39397465,37,3
50202363,18,1
1981736,551,5
2210840,551,5
4844310,551,5
121199908,551,4
1398380571,551,5
2069787189,551,4
1982058,552,0
3174259,0,6
47697061,0,4
2066291546,0,4
5960787,553,0
7994754,43,1
38495205,554,1
38563928,554,1
49587408,57,2
119127731,555,0
1388059561,556,0
1388392138,557,0
1741320275,558,0
2068883041,559,0
24029613,560,2
49352157,561,1
114387276,560,1
145616431,561,1
1995468093,560,1
12003640,562,0
1994992,563,2
2161653,563,2
6049738,563,2
5458129,564,2
7816112,565,0
48837352,152,4
49570722,566,1
49878912,567,0
72275901,564,2
115451247,568,2
119938771,568,2
122152447,568,2
143838985,62,2
144420819,566,1
144622527,299,1
2089344263,564,2
2549550,569,1
2760326,570,7
2767399,571,2
2879326,571,12
2936028,570,5
2969846,569,1
3239345,570,4
9044602,570,3
12108556,570,2
32949796,571,4
33949797,570,5
38419671,570,8
46497684,570,6
47274240,570,4
47632432,571,2
52272084,571,3
70662275,570,7
143688381,571,3
144453348,570,3
150125110,571,9
150352076,571,2
1395066131,571,1
1443781725,571,3
1500412045,571,2
1506998190,571,2
1741308886,572,0
2054128304,570,3
2054986454,570,1
2067674057,571,3
2092962092,570,1
2111455444,571,2
2935366,57,1
1999125,573,1
35167554,573,1
1999265,574,0
2000020,575,2
145507437,575,2
2086700188,575,2
50617806,576,1
2110316755,576,1
2004392,577,3
8010403,577,3
50187348,577,3
2105947573,577,3
2005927,314,2
40486345,314,2
2009092,578,0
2011787,579,3
2051081,579,3
2368341,579,3
3096649,579,4
2012043,580,2
2205698,580,2
3420285,580,2
2014293,581,3
3027683,581,3
123961960,581,3
1394341310,581,5
2069995475,30,2
2070409893,30,2
2016688,19,2
40527549,19,7
2017646,582,1
31251390,582,1
2022914,583,0
2028071,584,1
3023306,584,1
2029935,585,0
2658975,586,1
10799096,586,1
46472777,587,2
2053832511,587,2
2061666356,587,2
2035992,225,1
2038488,588,1
2109073427,588,1
2042055,34,5
40413539,34,5
2054898276,34,5
49250210,589,2
119393497,304,1
2084184731,589,1
2630298,590,6
3806362,590,6
51167022,590,6
144525753,591,1
144699362,591,1
145315377,590,6
150975277,590,6
1406452999,590,6
1665937378,590,6
52528187,592,0
2464550,48,10
1388712122,48,2
2058805,570,5
20815903,570,5
40987719,570,2
122392738,570,2
2110977820,570,3
2059705,593,3
3460259,593,2
34779525,593,2
100684298,593,1
2061340,594,2
6354941,594,2
1412446068,594,2
2061766,93,4
2869893,93,4
51967212,93,4
69034455,93,4
2783939,152,4
3019739,152,4
3797258,152,2
4645317,152,2
39914586,152,2
2062339,595,1
2668847,595,1
2064076,481,8
2153823,481,4
5260237,481,6
40595941,481,8
51296107,481,5
118547932,481,4
2065215943,481,5
2094229709,481,3
2111781975,481,5
10744785,57,3
38229662,596,0
114238276,57,3
2110879073,57,3
2066243,597,1
49086368,597,1
2067535,598,4
8318698,598,4
51135947,598,4
118404344,598,4
123017419,598,4
2973799,599,0
2070883,600,0
2070910,601,0
3212908,602,2
23970452,602,3
32507426,603,2
48606432,602,4
48939968,602,3
151441161,603,2
152646878,602,4
1931665923,603,2
2073659,604,1
46646080,604,1
2076048,605,1
1584578790,605,1
122662007,606,0
2078147,607,4
4626515,607,3
6630778,607,3
10794357,607,3
114549886,607,1
2079282,608,6
4432957,608,6
4841109,608,6
35400274,608,6
49309503,608,6
52206512,608,6
1963374694,608,6
1399594486,26,2
2007565143,26,2
2082305,4,3
73064747,4,3
2084808,61,3
144408445,61,3
145974520,61,3
2085588,609,2
2196522,609,10
143604938,609,6
2086307,132,3
2464895,132,9
118132238,132,4
2056597574,132,1
2086639,611,2
2222952,611,3
150310289,611,2
2088358,169,8
2519453,169,5
30421024,169,7
67325540,169,7
143995258,169,3
145059556,169,10
2109842960,169,5
2095083,612,3
2542122,612,3
47504191,612,3
144859929,612,3
2408791,37,5
3387394,307,2
28573362,613,1
31228081,613,1
31954599,37,3
48223574,307,2
143644649,307,4
145334595,307,7
145351935,37,3
1404354049,307,2
2042071202,307,2
2086070326,37,3
2098911,614,1
31413949,614,3
2082668972,19,2
2107723839,19,2
2099734,615,2
2407173,615,2
50325098,615,2
3125665,4,2
47270366,616,6
74587373,616,6
102471941,616,6
103129863,616,6
144899539,4,1
145083788,616,6
145116048,4,3
150034597,616,6
1741315202,617,0
2042411662,616,6
2080155085,618,0
2108104,619,2
3379428,619,2
49492182,619,2
2109235,132,2
2375351,132,4
2109729,620,1
144567039,620,1
81998872,43,2
120228851,621,0
147311305,622,1
2054657508,43,2
2086391202,622,1
2988289,314,3
41072903,314,7
46480867,314,3
120935900,314,6
146721686,314,2
1475315063,314,6
1752287104,314,6
2109670297,314,6
2112748,623,0
2113809,624,0
2749233,9,2
1666637442,9,2
2116972,609,4
39685029,609,2
47148631,609,1
2117535,625,2
3196270,625,2
145926487,625,2
2120952,626,2
35041184,626,2
145012477,626,2
2127156,627,4
2134290,627,4
3329979,627,4
39547552,627,4
1380618502,627,4
2127270,628,4
48965924,628,4
144417468,628,4
144609107,628,4
2075490080,628,4
2127786,629,5
34655523,629,5
36106268,629,5
143901502,629,5
144913176,629,5
1405685624,629,5
2128372,630,1
2109640882,630,1
2130858,19,6
3111137,19,5
33465537,19,5
1403978052,19,7
2061878581,19,1
2069874449,19,5
3927979,29,2
2064738166,29,2
2134842,631,0
2137248,632,0
2137777,633,2
2729440,633,2
145453803,633,2
2138771,634,0
2140017,635,1
3156752,635,1
2140169,636,5
3699193,636,5
24625796,636,5
24662207,636,5
1413963535,636,5
2008271114,636,5
2801337,64,4
3003737,637,1
3571922,638,2
3870607,64,1
4652054,638,2
7363052,637,1
28352444,639,2
32368040,640,1
35428918,638,2
39597654,64,3
47163421,64,3
51877210,641,0
108488786,2,1
144784059,640,1
1404663041,639,2
1419459974,639,2
2065805203,642,0
37405703,265,3
120797752,265,3
2057004498,265,2
2142728,643,5
32600237,643,5
46848228,643,5
107595599,643,5
123760338,643,5
144482423,643,5
2144305,644,6
6017782,644,6
8032799,644,6
40561274,644,6
143639460,644,6
2053871768,644,6
2060357205,644,6
2214843,645,0
41050489,4,5
46199865,4,5
46203249,4,5
46249511,4,5
2149322,646,2
2764830,646,1
143610082,646,1
2152199,647,3
2583711,647,3
2776193,647,3
3203245,647,3
2154328,164,5
30010780,164,2
30194699,164,3
35989470,164,3
39213872,164,6
2537861,648,2
3220805,649,0
4933734,648,2
5999063,648,2
6474958,609,3
9528303,609,2
31936306,650,2
50095416,609,3
81012825,651,0
89045846,650,2
116261468,652,0
145903684,650,2
1403676361,653,1
2059565151,653,1
2333880,152,4
2533201,152,4
3488772,152,4
40607009,152,4
47830101,152,1
2157654,34,3
3203307,34,2
1739577228,34,5
5934403,654,1
7356459,654,1
46183714,655,0
2165346,656,2
2267110,656,2
1397933253,656,2
2168633,13,1
2175645,657,0
2211003,510,6
2898337,510,6
39065599,510,6
120345599,510,6
2072958899,510,6
2184260,658,2
6834713,658,2
2064687867,658,2
2184800,659,0
2187064,32,2
9678381,32,3
35121943,660,0
2495100,661,1
2594921,169,2
2661446,34,3
2894881,662,1
5903133,169,3
5926409,662,1
6775889,34,2
6996102,169,1
7399992,663,0
7490972,169,3
7777877,169,2
11842754,169,3
25846139,169,2
30758870,661,1
34511682,169,2
35029527,664,0
41097326,665,1
49572331,169,1
49982584,169,6
51189569,169,3
52517246,34,2
80578765,666,2
102504381,34,2
114717743,169,1
116167122,169,3
118158644,169,4
119562914,667,0
145677428,169,10
1741818906,665,1
2098100476,169,3
4960525,668,1
6914004,668,1
1396657080,669,0
2190549,62,5
10504514,62,5
83325421,62,5
2088998296,62,5
2190818,670,3
31580208,670,4
46489956,670,1
108116017,670,5
2193109,419,3
47952245,419,1
2110332682,419,2
2666533,671,0
3305152,672,0
11910817,673,0
22560425,674,1
49678478,675,1
103035256,674,1
123495279,676,0
143832679,677,0
1738293250,678,0
1903034017,225,1
2074659688,679,0
2110602165,675,1
24563452,13,3
46459119,13,3
2071557283,13,3
9097247,680,0
23178603,681,3
30360015,681,3
32632697,681,5
40426453,681,3
50212406,681,2
71569009,681,2
2989002,609,3
46352631,609,3
2081246604,609,3
2202119,56,6
6974508,56,9
46617468,56,2
50352105,56,4
70354334,56,4
1404609254,56,7
1431727638,56,4
2202731,682,0
2203975,683,1
98446511,683,1
2210638,2,4
3393713,2,7
40084738,2,4
2881754,152,1
3459256,684,1
3918669,152,2
6583951,152,1
34811200,685,1
36887062,152,2
46194537,152,2
46275187,152,2
92258283,152,10
143774140,684,1
152660577,152,2
2053534751,152,1
2080608964,152,1
2215506,37,2
3008082,37,2
2215875,18,3
2216582,686,0
32524198,611,1
2224467,43,7
3015736,43,4
5956519,43,5
50065500,43,3
145825090,43,4
2637036,30,4
50486665,30,4
143996020,30,4
2229725,687,1
3119272,687,1
2660575,307,11
3094084,688,0
34821764,9,7
148176877,307,3
1387936232,689,3
2230578,6,1
2232853,689,3
35169961,689,3
49017964,689,3
2111337069,4,2
2235787,690,2
2312909,690,3
3673095,690,2
